time,frequency
4.965,247.69242318049146
4.97,247.38782957410055
4.975,247.7493194913814
4.98,247.8487571335335
4.985,247.27574775136938
4.99,247.29323502180898
4.995,247.21613140842163
5.0,246.48117554015988
5.005,246.5676938307224
5.01,245.9107790620061
5.015,245.89700396883924
5.02,245.70533168267855
5.025,244.91276415696697
5.03,245.92533791563434
5.035,245.30604094702383
5.04,244.57866573928638
5.045,245.19781639434743
5.05,245.18095431816354
5.055,244.59057287470912
5.06,244.9326082475343
5.065,244.96656886448866
5.07,244.88108398839302
5.075,244.94428190394478
5.08,245.40663005198178
5.085,246.13096782151433
5.09,245.665243601374
5.095,246.22617129031278
5.1,245.7089466832636
5.105,246.55748682065004
5.11,246.96882329729942
5.115,247.1217479235343
5.12,246.84020017230907
5.125,247.54870237605536
5.13,247.45829114588634
5.135,247.46070885150587
5.14,247.76946464421908
5.145,248.5051029157383
5.15,247.12625740407745
5.155,247.67324942447001
5.16,247.43840622324186
5.165,247.07138359779978
5.17,247.4996037851396
5.175,246.70376202297663
5.18,237.57290936165563
5.185,241.30269206310282
5.19,241.98355620439818
5.195,242.57963353032872
5.2,242.2653622022873
5.205,243.29435243284672
5.21,243.04549424195326
5.215,244.1467196545234
5.22,244.79166216691368
5.225,244.6427549331274
5.23,252.29290488248208
5.235,252.98813978978677
5.24,255.0777583632496
5.245,256.5207682794819
5.25,256.90377127852287
5.255,255.86935089466854
5.26,255.50250980081864
5.265,252.00242483235525
5.27,252.2022572207729
5.275,251.6787418979271
5.28,251.51964529301736
5.285,250.2311652389616
5.29,247.70135576330873
5.295,246.13636418079932
5.3,243.3105326605034
5.305,242.7658818547246
5.31,243.12070253290148
5.315,243.43182196794265
5.32,243.87860905277824
5.325,244.48005028618724
5.33,243.91526067280716
5.335,244.2332335761968
5.34,244.12732101826813
5.345,243.6878945796856
5.35,243.0821330892992
5.355,242.78198848975097
5.36,242.40529201017654
5.365,241.98813243661232
5.37,241.1820340268408
5.375,240.41214308066765
5.38,240.23408069593702
5.385,238.8701065572661
5.39,238.82313825808183
5.395,237.78209694742898
5.4,236.83540170534224
5.405,235.8039805074775
5.41,236.16015125978305
5.415,237.4349288790502
5.42,237.4012370309401
5.425,258.3911655997125
5.43,263.99633961714886
5.435,246.73081989305945
5.44,250.30628720615294
5.445,247.19558739970503
5.45,247.22145390865916
5.455,243.51554632467418
5.46,242.51892543134645
5.465,239.94558113469682
5.47,239.54487460723706
5.475,240.37653457710056
5.48,239.6199126415097
5.485,240.9548544144638
5.49,240.97402695513412
5.495,241.96387665151224
5.5,240.6620405735259
5.505,240.92161682188296
5.51,241.40540973404484
5.515,245.70918908985954
5.52,243.56822374403578
5.525,246.210994731656
5.53,239.19687540094495
5.535,249.96245543586977
5.54,245.88862659890967
5.545,245.54945972484128
5.55,242.32211130001002
5.555,242.37929358141653
5.56,241.6524749643313
5.565,245.63665696976972
5.57,244.27589615750006
5.575,245.03790140542674
5.58,245.4983226582094
5.585,244.74446764501275
5.59,246.53296605891987
5.595,244.63713318002144
5.6,242.28057232756484
5.605,242.019217266128
5.61,241.33168645498523
5.615,243.44538754730522
5.62,245.0795884925417
5.625,242.46975255993317
5.63,245.64849880437225
5.635,246.2036013080759
5.64,248.08352004949325
5.645,245.1686563513632
5.65,249.16736008812748
5.655,250.7419676983898
5.66,238.03320587185488
5.665,248.371163194408
5.67,243.62445252301166
5.675,246.1274092166823
5.68,243.8020174026184
5.685,232.91722808660026
5.69,267.1760182983255
5.695,237.9607389483698
5.7,285.0797568666177
5.705,264.09711093231846
5.71,348.79020448700044
5.715,254.71897264418592
5.72,283.4969210283558
5.725,289.88609905141715
5.73,286.73130855736116
5.735,274.62085828380424
5.74,270.66202944497036
5.745,282.41859264393867
5.75,270.6704969930855
5.755,270.5635896914602
5.76,269.7191107799093
5.765,271.9458907013131
5.77,271.6665379653181
5.775,269.4196217390038
5.78,272.1000275566415
5.785,264.87772038423435
5.79,267.43715483560015
5.795,273.7885255042526
5.8,273.925256611734
5.805,271.8638204440764
5.81,276.85191632118745
5.815,279.1485079286302
5.82,275.85349586176335
5.825,276.1040262130767
5.83,279.72937910151967
5.835,278.7897661148488
5.84,277.46530156268204
5.845,278.5340559327254
5.85,279.58145343476025
5.855,279.2553420223106
5.86,282.32044751390583
5.865,283.1860217533001
5.87,285.1873577433066
5.875,287.20747194675846
5.88,285.7847458856554
5.885,287.3325966075385
5.89,287.46588512209104
5.895,291.3987558002637
5.9,288.01407625907257
5.905,291.3423173720975
5.91,295.98896834982423
5.915,299.1220516757784
5.92,298.62719010525797
